    89/799     9.22G   0.02567   0.01755  0.001542   0.04476        45       640    0.2221    0.4348    0.1814   0.09864   0.04251   0.05521   0.01314
    90/799     9.22G   0.02519   0.01765   0.00119   0.04402        53       640    0.2292    0.4398    0.1726   0.09039   0.04229   0.05626   0.01278
    91/799     9.22G   0.02546     0.017  0.001277   0.04374        63       640    0.2227    0.4229    0.1816   0.09384   0.04173   0.05738   0.01376
    92/799     9.22G   0.02481   0.01746  0.001441   0.04371        68       640      0.23    0.4359    0.1865   0.09976   0.04187   0.05705   0.01294
    93/799     9.22G   0.02578   0.01762  0.001256   0.04465        56       640    0.2296    0.4264    0.1709   0.09326   0.04215   0.05713   0.01209
    94/799     9.22G   0.02443   0.01691  0.001302   0.04264        59       640    0.2297    0.4293    0.1879    0.0975   0.04208   0.05895   0.01346
    95/799     9.22G   0.02469   0.01748  0.001312   0.04348        69       640    0.2303    0.4189    0.1881   0.09968   0.04202   0.05664   0.01231
    96/799     9.22G   0.02551   0.01773  0.001299   0.04454        70       640    0.2256    0.4502    0.1974    0.1059   0.04251   0.05763   0.01284
    97/799     9.22G   0.02481   0.01692  0.001281   0.04301        42       640    0.2164    0.4186     0.186   0.09719   0.04273   0.05699    0.0143
    98/799     9.22G   0.02515   0.01786  0.001251   0.04425        57       640    0.2241    0.4252    0.1728   0.09135   0.04207   0.05718    0.0128
    99/799     9.22G   0.02506   0.01736  0.001337   0.04376        66       640    0.2252    0.4173    0.1768   0.09193   0.04299   0.05707   0.01335
   100/799     9.22G   0.02456    0.0174  0.001311   0.04327        71       640    0.2199    0.4329    0.1745    0.0923   0.04142   0.05853   0.01169
   101/799     9.22G   0.02536    0.0176  0.001315   0.04427        56       640    0.2073    0.4134    0.1807    0.1002   0.04252   0.05716   0.01296
   102/799     9.22G   0.02426   0.01712  0.001337   0.04271        40       640    0.2356    0.4325     0.178   0.09702   0.04227   0.06027   0.01186
   103/799     9.22G   0.02467   0.01684  0.001307   0.04282        54       640    0.2373    0.4297    0.1723    0.0911   0.04227   0.05917   0.01183
   104/799     9.22G   0.02376    0.0163  0.001311   0.04137        63       640    0.2393    0.4375    0.1818   0.09789   0.04151   0.05831   0.01157
   105/799     9.22G   0.02372   0.01663  0.001305   0.04166        48       640    0.2306    0.4399    0.1816   0.09639   0.04151   0.05944    0.0124
   106/799     9.22G   0.02489   0.01645  0.001221   0.04256        69       640    0.2322    0.4196    0.1629   0.08728   0.04167   0.05756   0.01266
   107/799     9.22G    0.0243   0.01662  0.001212   0.04213        72       640    0.2296     0.425    0.1751   0.09674   0.04325   0.05745   0.01476
   108/799     9.22G   0.02429   0.01671  0.001224   0.04223        31       640    0.2248    0.4159    0.1783   0.09842   0.04205   0.05962   0.01375
   109/799     9.22G   0.02374   0.01681  0.001334   0.04189        48       640    0.2265    0.4173    0.1877   0.09935   0.04134   0.06052   0.01234
   110/799     9.22G   0.02485    0.0166  0.001333   0.04278        51       640     0.233    0.4125    0.1582   0.08321   0.04149   0.05892    0.0137
   111/799     9.22G   0.02376   0.01683  0.001382   0.04197        54       640    0.2268    0.4383    0.1881     0.105   0.04164   0.05866   0.01288
   112/799     9.22G   0.02388   0.01638  0.001291   0.04155        71       640    0.2243    0.4525    0.1946    0.1062    0.0409   0.05926   0.01351
   113/799     9.22G   0.02441   0.01679   0.00136   0.04256        80       640    0.2322    0.4363    0.1823   0.09597   0.04238   0.05961   0.01427
   114/799     9.22G   0.02318   0.01615  0.001178   0.04051        51       640    0.2262    0.4415    0.1896    0.1031   0.04171   0.05838   0.01307
   115/799     9.22G   0.02406   0.01687   0.00109   0.04202        67       640    0.2249    0.4228    0.1719   0.09209   0.04176   0.05868   0.01328
   116/799     9.22G   0.02359    0.0159   0.00124   0.04073        50       640    0.2306    0.4186    0.1812    0.0976   0.04244   0.05998   0.01279
   117/799     9.22G   0.02403   0.01653  0.001375   0.04193        55       640     0.235    0.4335    0.1754     0.093   0.04268    0.0581   0.01267
